date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex.1,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location,date,new_cases,new_deaths,total_cases,total_deaths
2020-03-14,12,6,0.0,8.8,1,1,62,No moonrise,08:59 AM,06:10 AM,06:01 PM,2,7,8,7,13,63,68,0.7,1021,12,9,71,10,Croatia,2020-03-14,11.0,0.0,27.0,0.0
2020-03-15,10,3,0.0,11.6,1,1,55,12:10 AM,09:36 AM,06:08 AM,06:02 PM,-5,4,6,4,14,27,46,0.0,1026,10,10,60,11,Croatia,2020-03-15,10.0,0.0,37.0,0.0
2020-03-16,13,5,0.0,11.6,1,1,47,01:21 AM,10:19 AM,06:06 AM,06:04 PM,-2,9,9,9,4,5,49,0.0,1027,13,10,135,3,Croatia,2020-03-16,12.0,0.0,49.0,0.0
2020-03-13,29,20,0.0,11.6,1,1,69,No moonrise,10:44 AM,07:40 AM,07:38 PM,19,24,24,23,24,14,76,0.0,1018,29,10,61,16,Cuba,2020-03-13,0.0,0.0,3.0,0.0
2020-03-14,31,21,0.0,8.8,1,1,62,12:07 AM,11:30 AM,07:39 AM,07:39 PM,20,26,26,24,24,46,77,0.3,1020,31,9,78,16,Cuba,2020-03-14,1.0,0.0,4.0,0.0
2020-03-15,30,20,0.0,11.6,1,1,55,01:09 AM,12:18 PM,07:38 AM,07:39 PM,18,25,25,24,24,8,74,0.0,1021,30,8,71,16,Cuba,2020-03-15,0.0,0.0,4.0,0.0
2020-03-16,30,19,0.0,11.6,1,1,47,02:09 AM,01:10 PM,07:37 AM,07:40 PM,18,24,24,23,24,10,74,0.0,1020,30,10,67,16,Cuba,2020-03-16,0.0,0.0,4.0,0.0
2020-03-15,32,24,0.0,11.6,1,1,55,12:02 AM,11:55 AM,06:52 AM,06:56 PM,20,30,30,27,28,7,67,0.0,1014,32,10,212,20,Curacao,2020-03-15,0.0,0.0,2.0,0.0
2020-03-16,31,25,0.0,11.6,1,1,47,12:59 AM,12:49 PM,06:51 AM,06:56 PM,21,30,30,27,28,11,68,0.0,1014,31,10,331,20,Curacao,2020-03-16,0.0,0.0,2.0,0.0
2020-03-10,18,10,0.0,8.7,1,1,100,06:47 PM,06:45 AM,06:04 AM,05:50 PM,8,13,13,13,18,20,72,0.0,1016,18,10,323,11,Cyprus,2020-03-10,0.0,0.0,2.0,0.0
2020-03-11,18,8,0.0,5.8,1,1,84,08:00 PM,07:21 AM,06:02 AM,05:51 PM,6,13,13,13,12,39,64,0.0,1016,18,10,17,7,Cyprus,2020-03-11,0.0,0.0,2.0,0.0
