date,location,new_cases,new_deaths,total_cases,total_deaths,incubationDateStart,incubationDateEnd,maxtempC,mintempC,FeelsLikeC,HeatIndexC,WindChillC,humidity,tempC
2020-02-26 00:00:00,Australia,1.0,,23,,2020-02-12 00:00:00,2020-02-19 00:00:00,26.5,15.5,21.0,21.5,20.5,75.0,26.5
2020-02-27 00:00:00,Australia,0.0,,23,,2020-02-13 00:00:00,2020-02-20 00:00:00,25.0,15.0,19.5,20.0,19.5,74.5,25.0
2020-02-28 00:00:00,Australia,0.0,,23,,2020-02-14 00:00:00,2020-02-21 00:00:00,25.5,15.0,19.5,20.5,19.5,70.5,25.5
2020-02-29 00:00:00,Australia,1.0,,24,,2020-02-15 00:00:00,2020-02-22 00:00:00,24.5,14.0,18.5,19.5,18.5,71.0,24.5
2020-03-01 00:00:00,Australia,1.0,,25,,2020-02-16 00:00:00,2020-02-23 00:00:00,24.5,14.0,18.5,19.5,18.5,68.5,24.5
2020-03-02 00:00:00,Australia,2.0,,27,1.0,2020-02-17 00:00:00,2020-02-24 00:00:00,25.5,14.0,19.5,20.5,19.5,66.0,25.5
2020-03-03 00:00:00,Australia,6.0,0.0,33,1.0,2020-02-18 00:00:00,2020-02-25 00:00:00,26.0,14.0,20.0,20.5,20.0,63.0,26.0
2020-03-04 00:00:00,Australia,10.0,0.0,43,1.0,2020-02-19 00:00:00,2020-02-26 00:00:00,26.0,14.0,20.0,20.5,20.0,62.0,26.0
2020-03-05 00:00:00,Australia,14.0,0.0,57,1.0,2020-02-20 00:00:00,2020-02-27 00:00:00,26.0,13.5,20.0,20.5,20.0,62.0,26.0
2020-03-06 00:00:00,Australia,0.0,1.0,57,2.0,2020-02-21 00:00:00,2020-02-28 00:00:00,26.5,13.5,20.0,20.5,20.0,61.0,26.5
2020-03-07 00:00:00,Australia,5.0,0.0,62,2.0,2020-02-22 00:00:00,2020-02-29 00:00:00,26.5,14.0,20.5,21.0,20.5,59.5,26.5
2020-03-08 00:00:00,Australia,12.0,1.0,74,3.0,2020-02-23 00:00:00,2020-03-01 00:00:00,27.0,14.5,21.0,21.0,21.0,57.5,27.0
2020-03-09 00:00:00,Australia,3.0,0.0,77,3.0,2020-02-24 00:00:00,2020-03-02 00:00:00,27.5,14.5,21.0,21.0,21.0,54.5,27.5
2020-03-10 00:00:00,Australia,15.0,0.0,92,3.0,2020-02-25 00:00:00,2020-03-03 00:00:00,26.5,13.5,20.5,21.0,20.5,54.5,26.5
2020-03-11 00:00:00,Australia,20.0,0.0,112,3.0,2020-02-26 00:00:00,2020-03-04 00:00:00,26.0,12.5,19.0,20.0,19.0,54.5,26.0
2020-03-12 00:00:00,Australia,10.0,0.0,122,3.0,2020-02-27 00:00:00,2020-03-05 00:00:00,25.0,12.0,17.5,18.5,17.5,56.0,25.0
2020-03-13 00:00:00,Australia,18.0,0.0,140,3.0,2020-02-28 00:00:00,2020-03-06 00:00:00,25.0,12.5,18.0,19.0,18.0,65.5,25.0
2020-03-14 00:00:00,Australia,57.0,0.0,197,3.0,2020-02-29 00:00:00,2020-03-07 00:00:00,23.0,13.0,17.0,18.0,17.0,74.0,23.0
2020-03-15 00:00:00,Australia,52.0,0.0,249,3.0,2020-03-01 00:00:00,2020-03-08 00:00:00,21.5,12.5,16.0,17.0,16.0,76.5,21.5
2020-03-16 00:00:00,Australia,49.0,2.0,298,5.0,2020-03-02 00:00:00,2020-03-09 00:00:00,20.0,12.0,16.0,16.5,16.0,78.0,20.0
2020-03-17 00:00:00,Australia,77.0,0.0,375,5.0,2020-03-03 00:00:00,2020-03-10 00:00:00,20.0,11.5,15.5,16.0,15.5,78.0,20.0
2020-02-26 00:00:00,Austria,,,2,,2020-02-12 00:00:00,2020-02-19 00:00:00,9.5,4.5,4.0,7.0,4.0,69.5,9.5
2020-02-27 00:00:00,Austria,0.0,,2,,2020-02-13 00:00:00,2020-02-20 00:00:00,9.5,4.5,4.0,7.0,4.0,69.5,9.5
2020-02-28 00:00:00,Austria,2.0,,4,,2020-02-14 00:00:00,2020-02-21 00:00:00,9.5,4.5,4.0,7.0,4.0,67.0,9.5
2020-02-29 00:00:00,Austria,1.0,,5,,2020-02-15 00:00:00,2020-02-22 00:00:00,10.0,4.0,4.0,7.0,4.0,61.0,10.0
2020-03-01 00:00:00,Austria,5.0,,10,,2020-02-16 00:00:00,2020-02-23 00:00:00,10.5,4.5,5.0,7.0,5.0,61.0,10.5
2020-03-02 00:00:00,Austria,0.0,,10,,2020-02-17 00:00:00,2020-02-24 00:00:00,10.5,4.5,5.5,7.5,5.5,59.5,10.5
2020-03-03 00:00:00,Austria,8.0,,18,,2020-02-18 00:00:00,2020-02-25 00:00:00,10.5,4.5,5.5,7.5,5.5,59.5,10.5
2020-03-04 00:00:00,Austria,6.0,,24,,2020-02-19 00:00:00,2020-02-26 00:00:00,9.5,4.0,4.5,7.0,4.5,58.5,9.5
2020-03-05 00:00:00,Austria,13.0,,37,,2020-02-20 00:00:00,2020-02-27 00:00:00,8.5,4.0,4.0,7.0,4.0,56.0,8.5
2020-03-06 00:00:00,Austria,10.0,,47,,2020-02-21 00:00:00,2020-02-28 00:00:00,8.5,4.0,4.0,7.0,4.0,55.5,8.5
2020-03-07 00:00:00,Austria,19.0,,66,,2020-02-22 00:00:00,2020-02-29 00:00:00,9.0,3.5,4.0,7.0,4.0,53.5,9.0
2020-03-08 00:00:00,Austria,38.0,,104,,2020-02-23 00:00:00,2020-03-01 00:00:00,8.5,3.5,3.5,6.5,3.5,55.5,8.5
2020-03-09 00:00:00,Austria,8.0,,112,,2020-02-24 00:00:00,2020-03-02 00:00:00,8.5,3.5,3.5,6.5,3.5,55.5,8.5
2020-03-10 00:00:00,Austria,19.0,,131,,2020-02-25 00:00:00,2020-03-03 00:00:00,8.0,3.5,3.5,6.5,3.5,58.5,8.0
2020-03-11 00:00:00,Austria,51.0,,182,,2020-02-26 00:00:00,2020-03-04 00:00:00,8.0,3.5,3.0,6.0,3.0,57.5,8.0
2020-03-12 00:00:00,Austria,120.0,,302,,2020-02-27 00:00:00,2020-03-05 00:00:00,8.5,3.5,3.5,6.0,3.5,57.5,8.5
2020-03-13 00:00:00,Austria,59.0,,361,1.0,2020-02-28 00:00:00,2020-03-06 00:00:00,9.5,4.0,4.0,6.5,4.0,60.5,9.5
2020-03-14 00:00:00,Austria,143.0,0.0,504,1.0,2020-02-29 00:00:00,2020-03-07 00:00:00,9.5,4.5,4.0,7.0,4.0,62.5,9.5
2020-03-15 00:00:00,Austria,296.0,0.0,800,1.0,2020-03-01 00:00:00,2020-03-08 00:00:00,10.0,4.5,4.0,7.0,4.0,62.5,10.0
2020-03-16 00:00:00,Austria,159.0,0.0,959,1.0,2020-03-02 00:00:00,2020-03-09 00:00:00,10.0,4.5,4.5,7.0,4.5,62.5,10.0
2020-03-17 00:00:00,Austria,173.0,2.0,1132,3.0,2020-03-03 00:00:00,2020-03-10 00:00:00,10.0,4.5,4.5,7.0,4.5,62.0,10.0
2020-03-01 00:00:00,Azerbaijan,,,3,,2020-02-16 00:00:00,2020-02-23 00:00:00,9.0,6.0,4.5,7.0,4.5,77.5,9.0
2020-03-02 00:00:00,Azerbaijan,0.0,,3,,2020-02-17 00:00:00,2020-02-24 00:00:00,9.0,6.0,4.5,7.0,4.5,79.5,9.0
2020-03-03 00:00:00,Azerbaijan,0.0,,3,,2020-02-18 00:00:00,2020-02-25 00:00:00,9.5,6.0,5.0,7.5,5.0,79.5,9.5
2020-03-04 00:00:00,Azerbaijan,0.0,,3,,2020-02-19 00:00:00,2020-02-26 00:00:00,9.5,6.0,5.0,8.0,5.0,79.5,9.5
2020-03-05 00:00:00,Azerbaijan,0.0,,3,,2020-02-20 00:00:00,2020-02-27 00:00:00,9.5,6.5,5.0,8.0,5.0,79.5,9.5
2020-03-06 00:00:00,Azerbaijan,0.0,,3,,2020-02-21 00:00:00,2020-02-28 00:00:00,10.0,6.5,5.5,8.5,5.5,77.0,10.0
2020-03-07 00:00:00,Azerbaijan,6.0,,9,,2020-02-22 00:00:00,2020-02-29 00:00:00,10.0,7.0,6.0,9.0,6.0,70.5,10.0
2020-03-08 00:00:00,Azerbaijan,0.0,,9,,2020-02-23 00:00:00,2020-03-01 00:00:00,10.0,7.0,5.5,9.0,5.5,70.5,10.0
2020-03-09 00:00:00,Azerbaijan,0.0,,9,,2020-02-24 00:00:00,2020-03-02 00:00:00,10.0,6.5,4.5,8.5,4.5,70.5,10.0
2020-03-10 00:00:00,Azerbaijan,0.0,,9,,2020-02-25 00:00:00,2020-03-03 00:00:00,10.0,6.0,4.5,8.5,4.5,69.5,10.0
2020-03-11 00:00:00,Azerbaijan,0.0,,9,,2020-02-26 00:00:00,2020-03-04 00:00:00,10.0,6.5,5.5,8.5,5.5,74.0,10.0
2020-03-12 00:00:00,Azerbaijan,0.0,,9,,2020-02-27 00:00:00,2020-03-05 00:00:00,11.0,7.5,7.0,9.5,7.0,74.5,11.0
2020-03-13 00:00:00,Azerbaijan,2.0,,11,,2020-02-28 00:00:00,2020-03-06 00:00:00,12.0,8.0,7.0,10.0,7.0,73.5,12.0
2020-03-14 00:00:00,Azerbaijan,0.0,,11,,2020-02-29 00:00:00,2020-03-07 00:00:00,11.5,7.0,7.0,10.0,7.0,73.5,11.5
2020-03-15 00:00:00,Azerbaijan,8.0,,19,,2020-03-01 00:00:00,2020-03-08 00:00:00,11.5,7.0,7.0,9.5,7.0,73.5,11.5
2020-03-16 00:00:00,Azerbaijan,0.0,,19,,2020-03-02 00:00:00,2020-03-09 00:00:00,11.5,8.0,7.0,9.5,7.0,71.5,11.5
2020-03-17 00:00:00,Azerbaijan,0.0,,19,,2020-03-03 00:00:00,2020-03-10 00:00:00,12.0,8.0,7.0,10.0,7.0,71.5,12.0
2020-03-17 00:00:00,Bahamas,,,1,,2020-03-03 00:00:00,2020-03-10 00:00:00,23.5,18.5,24.0,24.0,22.0,75.0,23.5
